PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType,CPCClassifications,IPCRClassifications,USClassifications
CN204932947U,CN,06/01/2016,2016,17/09/2015,SICHUAN YUANJUE TECH CO LTD,XIAO LONGHUI;;ZHAO YONG,,,Limited Patent,,B01D19/00,
CN102371085A,CN,14/03/2012,2012,13/08/2010,ZHUHAI YUANMING POWER EQUIPMENT CO LTD,ZHIMIN HU,,,Patent Application,,B01D19/00;;G01N30/06,
CN103252113A,CN,21/08/2013,2013,11/04/2013,WUHAN NARI LTD LIABILITY CO OF STATE GRID ELECTRIC POWER RES INST,ZHANG JIE;;YAO XIANGYU;;DONG QIN,,,Patent Application,,B01D19/00,
CN2746371Y,CN,14/12/2005,2005,15/05/2004,LIAOHE PETROLEUM PROSPECTING,CHEN XIAOAN;;ZHANG SHENGWEN;;JIANG SONGYUAN,,,Limited Patent,,G01F1/58,
CN2713135Y,CN,27/07/2005,2005,11/06/2004,HAIAN HUADA PETROLEUM INSTR CO,LIU WEIZHOU;;QIAN RUSHU,,,Limited Patent,,E21B49/08,
CN101189409A,CN,28/05/2008,2008,19/04/2006,PETROLEUM RES & DEV NV,CLINTON MULLINS OLIVER;;TORU TERABAYASHI;;AKIHITO CHIKENJI;;TSUTOMU YAMATE,,,Patent Application,E21B49/10;;E21B49/10;;E21B49/10;;E21B49/10,E21B49/10;;G01N7/00,
CN202991024U,CN,12/06/2013,2013,14/12/2012,XI AN SHITIAN ELECTRONIC CO LTD;;DAQING ALPHA PETROLEUM TECHNOLOGY SERVICE CO LTD,LV SHOUDA;;YU TAO;;HOU LEI;;LI MINGZE,,,Limited Patent,,E21B49/08;;E21B43/38,
CN104213914A,CN,17/12/2014,2014,05/06/2013,PETROCHINA CO LTD;;PETROCHINA COALBED METHANE CO LTD;;CHINA PETROLEUM LOGGING CO LTD;;CHINA UNITED COALBED METHANE NAT ENG RES CT CO LTD,MEN XIANGYONG;;CHEN YONGCHANG;;CAI WENYUAN;;LI ZHONGBAI;;LI RUIAN;;WANG FENG;;ZHANG KAILIANG;;LI YANFEI;;ZUO JUNLIN;;WANG YANNIAN;;TANG LIN;;XIE HUI,,,Patent Application,,E21B49/08,
CN201705350U,CN,12/01/2011,2011,18/06/2010,CHINA NAT OFFSHORE OIL CORP;;CHINA OILFIELD SERVICES LTD,YANG ZHOU;;XIANZHONG TAN,,,Limited Patent,,E21B49/08,
CN2174564Y,CN,17/08/1994,1994,08/04/1993,PROSPECTING DEV I CHANGQING PE,HEMIN CHEN;;GUANGGEN ZHANG;;PING SUN,,,Limited Patent,,E21B49/08,
CN103104255A,CN,15/05/2013,2013,22/01/2013,UNIV XI AN JIAOTONG,WANG SHUAI;;WANG DONG;;WANG KAI;;OU ZHOU;;ZHANG XINGKAI;;ZHANG BINGDONG;;LIU MING;;WU GUOWEI,,,Patent Application,,E21B49/08,
CN202850974U,CN,03/04/2013,2013,20/09/2012,ZHONGJI OIL SERVICE BEIJING TECHNOLOGY CO LTD,XU LINA,,,Limited Patent,,E21B47/00,
CN104344218A,CN,11/02/2015,2015,31/07/2013,WUXI HUISIDUN SCIENCE & TECHNOLOGY CO LTD;;WUHAN FINE MEMS INC,JIANG HAO;;LIU SHENG;;FU XINGMING;;WANG XIAOPING,,,Patent Application,,F17D5/02,
CN204408523U,CN,17/06/2015,2015,05/02/2015,CNOOC YINGKOU NATURAL GAS CO LTD,QIN YUEZHONG;;LIU RENZHU;;LYU AIMIN;;LI MINGQING;;YANG QI,,,Limited Patent,,H04N7/18;;F17D5/00,
CN1908505A,CN,07/02/2007,2007,04/08/2006,TIANJIN AT PHOTONICS INC,DONG SUSHAN GUO,,,Patent Application,,F17D5/02,
CN101603630A,CN,16/12/2009,2009,30/06/2009,SHANGHAI NENGXIN PETROLEUM TEC,YUCHEN MAO,,,Patent Application,,F17D5/06,
CN205001864U,CN,27/01/2016,2016,17/09/2015,CHENGDU QIANYI INFORMATION TECH CO LTD,MO SHANGYI,,,Limited Patent,,F17D5/02;;F17D5/00,
CN203372120U,CN,01/01/2014,2014,08/06/2013,ARCHITECTURAL ENG RES INST THE GENERAL LOGISITIC DEPT PLA,JIA GUIZHI;;XU CONGQI;;GAO RUILIN;;XU GUISHENG;;DONG ZHIMING;;ZHU MANJIANG;;MA XIBIN;;FENG GUOYONG,,,Limited Patent,,B60P3/22;;B65D88/74;;B65D90/22;;B65D90/52,
CN204957460U,CN,13/01/2016,2016,16/09/2015,SICHUAN PENGXU TECH CO LTD,DAI PENGLING,,,Limited Patent,,B65D90/48;;B65D90/00;;B65D90/20;;B65D90/32;;B65D90/52,
CN2926106Y,CN,25/07/2007,2007,25/05/2006,YONGQIANG MOTOR MFG CO LTD DON,JIN XIAOLONG GENG,,,Limited Patent,,B65D88/12;;B65D90/00;;B65D90/10,
CN202379301U,CN,15/08/2012,2012,22/12/2011,PETRO OIL & LUBRICANT RES INST OF THE GENERAL LOGISITIC DEPT PLA;;BEIJING ESHENGTAIHE CTRL TECH CO LTD,LIANLING REN;;CHUNHUA XIONG;;GAOYOU TIAN;;JIANLIN CHEN;;RIJIANG XUE;;CHANGBO LU;;GAOJUN AN;;YOUJIE ZHOU,,,Limited Patent,,B65D88/06;;B65D90/04;;B65D90/48,
CN103879690A,CN,25/06/2014,2014,24/03/2014,UNIV ANHUI SCI & TECHNOLOGY,XU WENCHAO;;LI CONG;;YANG YUSHENG;;SHI AIDONG,,,Patent Application,,B65D90/22,
CN101665179A,CN,10/03/2010,2010,11/09/2009,SHUWEI LI,SHUWEI LI,,,Patent Application,,B65D88/02,
CN101699226A,CN,28/04/2010,2010,02/11/2009,UNIV BEIHANG,LIJUN XU;;SHIWEI FAN;;ZHANG CAO,,,Patent Application,,G01F1/58;;G01F1/60,
CN101294832A,CN,29/10/2008,2008,28/04/2007,SHANGHAI KENT INTELLIGENCE MET,XINGHUA LI;;ZHONGYUAN MA,,,Patent Application,,G01F1/58,
CN204330035U,CN,13/05/2015,2015,16/01/2015,UNIV YANSHAN,KONG LINGFU;;DU SHENGXUE;;LI YINGWEI;;KONG WEIHANG;;WANG YUEMING,,,Limited Patent,,G01F1/56,
CN101344217A,CN,14/01/2009,2009,28/08/2008,UNIV CHINA PETROLEUM,ZHISHAN LIANG,,STATE GRID CORPORATION OF CHINA CHANGCHUN POWER SU (2014-07-30),Patent Application,,F17D5/00,
CN101045994A,CN,03/10/2007,2007,29/03/2006,BAOSHAN IRON & STEEL,PENG CHONG XU,,,Patent Application,,C23F13/22,
CN102901259A,CN,30/01/2013,2013,31/10/2012,NANJING WUZHOU REFRIGERATION GROUP CO LTD,CHEN CHUANBAO;;ZHU HAIYONG;;CAO FANGDI;;FAN BINGYAN,,,Patent Application,,F25B1/10;;F25B31/00;;F25B41/04,
CN103162460A,CN,19/06/2013,2013,15/12/2011,TSINGHUA TONGFANG ARTIFICIAL ENVIRONMENT CO LTD,YANG QINGWEI;;HAN XIAOMING,,,Patent Application,,F25B1/047;;F25B41/04,
CN102338505A,CN,01/02/2012,2012,30/09/2011,TCL AIR CONDITIONER WUHAN CO LTD,PEIMENG HUANG;;WEIDONG CHEN,,,Patent Application,,F25B31/00;;F25B41/04;;F25B49/02,
CN102033041A,CN,27/04/2011,2011,24/12/2010,UNIV NORTH CHINA ELEC POWER,GUOMING MA;;CHENGRONG LI;;YINGTING LUO,,,Patent Application,,G01N21/00;;G01N1/28;;G01R31/00,
CN102818962A,CN,12/12/2012,2012,07/09/2012,JIANGSU UONONE ELECTRIC AUTOMATION CO LTD,GONG YONGQUAN;;WANG LUTANG;;WANG YUELIN;;WU JI AN,,,Patent Application,,G01R31/00;;G01H9/00;;G01K11/32;;G01N21/45;;G01R31/12,
CN202141720U,CN,08/02/2012,2012,01/07/2011,KUNMING YITONG MEIER LIGHTNING ENGINEERING CO LTD,YIHAN ZHANG,,"YUNNAN YITONG MEIER TECHNOLOGY CO., LTD. (2015-04-22)",Limited Patent,,G01N33/28,
CN103512860A,CN,15/01/2014,2014,19/06/2012,UNIV CENTRAL SOUTH,XU XUEMEI;;ZHANG JIANYANG;;YANG BINGCHU;;TAO SHAOHUA;;DENG HONGGUI;;DING JIAFENG;;DAI PENG;;LI BENRONG,,,Patent Application,,G01N21/39,
CN103675139A,CN,26/03/2014,2014,11/12/2013,SHANGHAI ZHIXIN ELECTRIC CO LTD;;SHANGHAI ZHIXING ELECTRIC CO LTD,LU PEIJUN;;GONG SHUIJUE;;SUN JIANFENG;;CAI YU,,,Patent Application,,G01N30/02,
CN203561629U,CN,23/04/2014,2014,14/11/2013,CHENGDU E YOU TECHNOLOGY CO LTD,TAN SHUNCHUAN;;ZHANG LIWEI,,,Limited Patent,,G01N33/00;;G01R31/00;;H02J13/00,
CN102123164A,CN,13/07/2011,2011,27/12/2010,ANHUI JIYUAN POWER SYSTEM TECHNOLOGY CO LTD,MING HE;;YUHONG WANG;;HAO WANG;;GANG WANG;;MAOBO YANG;;HONGFU XIE,,,Patent Application,,H04L29/08;;G01N30/88,
CN102998420A,CN,27/03/2013,2013,11/10/2012,SUZHOU AIZHI ELECTRIC & MACHINERY CO LTD,ZHENG DAOFU,,,Patent Application,,G01N33/00;;G01R31/00;;G01R31/12,
CN202871052U,CN,10/04/2013,2013,19/09/2012,JINAN POWER SUPPLY CO LTD SHANDONG ELECTRIC POWER CORP,ZHANG XIAOMING;;WANG LIN;;GAO ZHAOLI;;YANG YANG,,STATE ELECTRIC NET CROP. (2013-08-06);;JINAN POWER SUPPLY COMPANY OF SHANDONG ELECTRIC PO (2013-08-06),Limited Patent,,G08B25/10;;G08B13/00;;H02J7/00,
CN101238624A,CN,06/08/2008,2008,14/12/2005,SIEMENS LTDA,AMERICO VENTURINI CHEIM LUIZ;;GERALDO GERVINO SILVEIRA JOSE,,,Patent Application,G01D4/004;;G06Q10/0635;;G06Q10/20;;Y04S10/16;;Y04S10/40;;Y04S10/30;;H02J13/00001;;H02J13/00002;;H02J13/00034;;Y02E60/00;;Y04S10/50;;G01D4/004;;Y04S10/16;;Y04S10/40;;G06Q10/20;;G06Q10/0635;;Y04S10/30;;H02J13/00001;;Y02B90/20;;Y02E60/00;;Y04S20/30,G01R21/01;;H02J3/00;;H02J13/00,
CN102818962A,CN,12/12/2012,2012,07/09/2012,JIANGSU UONONE ELECTRIC AUTOMATION CO LTD,GONG YONGQUAN;;WANG LUTANG;;WANG YUELIN;;WU JI AN,,,Patent Application,,G01R31/00;;G01H9/00;;G01K11/32;;G01N21/45;;G01R31/12,
CN104792715A,CN,22/07/2015,2015,04/05/2015,UNIV NORTH CHINA ELEC POWER,MA GUOMING;;LI CHENGRONG;;JIANG JUN;;SONG HONGTU,,,Patent Application,,G01N21/31,
CN203275159U,CN,06/11/2013,2013,28/05/2013,BEIJING HUADIAN YUNTONG POWER TECHNOLOGY CO LTD,LIANG XUANWEI;;DU XIAOQIN;;AN CHENGUANG;;LIU YAFEI;;CAO JIAN;;XING SHENG,,,Limited Patent,,G01N1/28;;G01N21/35,
CN103512860A,CN,15/01/2014,2014,19/06/2012,UNIV CENTRAL SOUTH,XU XUEMEI;;ZHANG JIANYANG;;YANG BINGCHU;;TAO SHAOHUA;;DENG HONGGUI;;DING JIAFENG;;DAI PENG;;LI BENRONG,,,Patent Application,,G01N21/39,
CN104406885A,CN,11/03/2015,2015,11/12/2014,ELECTRIC POWER RES INST GUANGDONG POWER GRID CO LTD;;UNIV NORTH CHINA ELEC POWER,WANG HONGBIN;;LUO YINGTING;;LI FENG;;LI CHENGRONG;;ZHU WENJUN;;JIANG JUN;;MA GUOMING,,,Patent Application,,G01N7/10,
CN204312032U,CN,06/05/2015,2015,05/12/2014,XI AN JINLI PETRO TECHNOLOGY CO LTD,WANG FANGRUI;;ZHAO SUILONG;;JIA HAIJUN;;WANG GANG;;GUAN XIAOWEI;;LIU LEI,,,Limited Patent,,E21B43/00,
CN203515496U,CN,02/04/2014,2014,27/09/2013,PETROCHINA CO LTD,SHE CHAOYI;;XIONG JIE;;YIN QIANG;;MA HUIYUN;;LI ZIQIANG;;FU YONGQIANG;;ZHU KUN;;HUANG YAN;;XIONG XIONG;;LI KUI,,,Limited Patent,,E21B43/00,
CN2137713Y,CN,07/07/1993,1993,06/01/1992,LI SHENGHU,XIUZHEN LIU,,,Limited Patent,,E21B47/047,
CN104695906A,CN,10/06/2015,2015,06/12/2013,PETROCHINA CO LTD,SUN BINGHENG;;WANG ZHENSONG;;FENG RENDONG;;LIU YOU;;TANG ANDA;;WANG ZHICHAO,,,Patent Application,E21B43/122;;E21B34/066;;E21B34/16,E21B43/00,
CN104991274A,CN,21/10/2015,2015,03/07/2015,UNIV CHINA PETROLEUM;;INST GEOLOGY & GEOPHYSICS CAS,WANG WENGUANG;;ZENG BINGYAN;;WANG MIN;;LU SHUANGFANG;;MA SHIZHONG;;XUE HAITAO;;XIAO TIANSHI,,,Patent Application,,G01V1/30,
CN104965979A,CN,07/10/2015,2015,16/06/2015,CHINA PETROLEUM & CHEMICAL;;SINOPEC HENAN OILFIELD BRANCH COMPANY RES INST OF EXPLORATION & DEV,LIU ZHENGJUN;;LI MING;;LI XIYU;;YANG XIAOPEI;;ZHU JINGXIU;;ZHOU YONGQIANG;;HUANG LEI;;HAN FENGHUA;;SU JIANHONG;;LIANG LIMEI,,,Patent Application,,G06F19/00,
CN104358565A,CN,18/02/2015,2015,31/10/2014,CHINA PETROLEUM & CHEMICAL;;EXPLORATION AND DEV RES INST OF SINOPEC ZHONGYUAN OILFIELD COMPANY,ZHAO XINGTAO;;GUO DIANBIN;;SU HUI;;TANG BIN;;GU QIN;;WANG XINGWU;;CHANG HONGWEI;;HAN YUANQING;;LIU SHU,,,Patent Application,E21B49/00,E21B49/00,
CN104133040A,CN,05/11/2014,2014,31/07/2014,UNIV CHINA PETROLEUM,PANG XIONGQI;;WANG WENYANG;;HUO ZHIPENG;;PANG HONG;;XIAO SHUANG,,,Patent Application,,G01N33/00;;G01N15/08,
CN102562048A,CN,11/07/2012,2012,30/12/2010,UNIV YANGTZE,TAIJU YIN;;CHANGMIN ZHANG;;WEI YANG,,,Patent Application,,E21B49/00,
CN202743445U,CN,20/02/2013,2013,07/06/2012,CHINA NAT OFFSHORE OIL CORP;;CNOOC RES INST,FAN MU;;XIE BIN;;XIE WENHUI;;WANG SHISHENG;;LIU JIAN;;WANG JUNRONG;;FENG JIAGUO;;YU XICHONG;;CHENG BING,,,Limited Patent,,B63B35/44,
CN102756793A,CN,31/10/2012,2012,07/06/2012,CHINA NAT OFFSHORE OIL CORP;;CHINA RES INST OF NAT OFFSHORE OIL,MU FAN;;BIN XIE;;WENHUI XIE;;SHISHENG WANG;;JIAN LIU;;JUNRONG WANG;;JIAGUO FENG;;XICHONG YU;;BING CHENG,,,Patent Application,,B63B35/44,
CN205273808U,CN,01/06/2016,2016,05/11/2015,DALIAN SHIPBUILDING INDUSTRY,SUN LIANKE;;LIU QINGJIANG;;DONG QINGHUI;;GUO HONGSHENG;;LENG AWEI;;JIANG FUHONG;;ZHAO JING,,,Limited Patent,,B63B35/44;;B63B11/00,
CN102963507A,CN,13/03/2013,2013,30/11/2012,DALIAN SHIPBUILDING INDUSTRY,ZHAO JIE;;JIANG FUHONG;;DONG QINGHUI;;LIN HAIHUA;;MA YANDE;;WANG FEI;;DAI TING;;SAN LIZHONG;;LIU GANG;;GUO HONGSHENG;;LENG AWEI;;LIU YUEQIANG;;PING FENG;;PENG GUISHENG;;MEI RONGBING;;WANG XIN;;YAO YUNXI;;LI ZAIPENG;;WANG HAIJUN;;LIU HONGFENG;;LIU QINGJIANG;;SUN LIANKE;;MA LAIRUN,,,Patent Application,,B63B35/44;;B63B21/50,
CN204716230U,CN,21/10/2015,2015,18/06/2015,CNPC CHUANQING DRILLING ENG CO,CHEN FENG;;TANG KAI;;MA FENG;;CHEN HUABIN;;CHEN JIANBO;;CHEN HUAN;;GAO WENXIANG,,,Limited Patent,,E21B47/06,
CN102108851A,CN,29/06/2011,2011,30/12/2010,PETROCHINA CO LTD,DEZHU LIU;;SHOUGUO SUN;;ZHONG GUAN;;YUQIANG GUO;;ZAIHONG SHI;;XIANRONG WANG;;CHUANXING HE;;SHUYING YANG;;ZHONGDE YANG;;GUOHENG REN;;KAI WEI;;XIAOXUE DU,,,Patent Application,,E21B43/24;;E21B47/00,
CN101255791A,CN,03/09/2008,2008,09/04/2008,UNIV ZHEJIANG,JIANG YANG;;WANGXIANG LING,,,Patent Application,,E21B47/00;;E21B47/06;;G01F1/00;;G01F5/00;;G01F15/02,
CN104090020A,CN,08/10/2014,2014,10/07/2014,UNIV TIANJIN,DONG FENG;;SU XI;;TAN CHAO,,,Patent Application,,G01N27/60;;G01N27/08;;G01N29/028;;G01P5/24,
CN105004763A,CN,28/10/2015,2015,10/06/2015,UNIV TIANJIN,JIN NINGDE;;CHEN XIN;;ZHAI LUSHENG,,,Patent Application,,G01N27/06;;G01F1/708,
CN104965104A,CN,07/10/2015,2015,21/05/2015,UNIV TIANJIN,TAN CHAO;;YUAN YE;;DONG XIAOXIAO;;DONG FENG,,,Patent Application,,G01P11/00;;G01P5/00,
CN1427948A,CN,02/07/2003,2003,05/03/2001,NEST INT NV,DROBKOV VLADIMIR;;MELNIKOV VLADIMIR;;SHUSTOV ANDREY,,,Patent Application,G01F1/74;;G01F1/74;;G01F1/74;;G01F1/663;;G01F1/663;;G01F1/663;;G01F1/7082;;G01F1/7082;;G01F1/7082;;G01F1/712;;G01F1/712;;G01F1/712;;G01N29/032;;G01N29/032;;G01N29/032;;G01N29/09;;G01N2291/02;;G01N2291/02433;;G01N2291/02433;;G01N2291/02433;;G01N2291/02809;;G01N2291/02809;;G01N2291/02836;;G01N2291/02836;;G01N2291/02836;;G01N2291/02863;;G01N2291/02863;;G01N2291/02863;;G01N2291/105;;G01N2291/105,G01F1/00;;G01F1/56;;G01F1/66;;G01F1/708;;G01F1/712;;G01F1/74;;G01N29/00;;G01N29/02;;G01N29/032;;G01N29/09,
CN104100260A,CN,15/10/2014,2014,08/07/2014,UNIV TIANJIN,ZHAI LUSHENG;;JIN NINGDE;;BIAN PENG;;ZHANG MENGLIN,,,Patent Application,,E21B49/00,
CN104155471A,CN,19/11/2014,2014,10/07/2014,UNIV TIANJIN,TAN CHAO;;WU HAO;;DONG FENG,,,Patent Application,,G01P5/00;;G01P5/24,
CN101614701A,CN,30/12/2009,2009,30/07/2009,CHINA NAT OFFSHORE OIL CORP,SHIQUAN JIANG;;WEI JIANG;;LIANGBIN XU;;LIPIN LI;;RUIRONG DANG,,,Patent Application,,G01N27/74,
CN104897737A,CN,09/09/2015,2015,10/06/2015,UNIV TIANJIN,JIN NINGDE;;DOU FUXIANG;;ZHAI LUSHENG,,,Patent Application,,G01N27/07;;G01N27/08,
CN201788092U,CN,06/04/2011,2011,16/07/2010,XUZHOU CONSTRUCTION MACH INST,HANGUANG LIU;;SHUANLAO DONG,,,Limited Patent,,G01M17/04,
CN202092877U,CN,28/12/2011,2011,18/04/2011,XUZHOU CONSTRUCTION MACH INST,HANGUANG LIU;;SHUANLOU DONG;;JIANHUA SUN,,,Limited Patent,,G01M17/04,
CN203672635U,CN,25/06/2014,2014,27/01/2014,HARBIN FIRST MACHINERY GROUP CORP LTD,LI XINGCHUN;;LIU YUNLONG;;HAN GUANGCAI;;ZHANG DEXIN;;LI GUIZHU;;SHAO WEILING;;WU LEI;;SI LILI;;WEN GUIMEI;;FU KAI;;LU YONGLI,,,Limited Patent,,G01M17/04;;G01M13/00,
CN2699036Y,CN,11/05/2005,2005,15/11/2004,ZHANG YIXIANG,ZHANG YIXIANG,,,Limited Patent,,F15B1/02;;F15B21/02,
CN201749032U,CN,16/02/2011,2011,13/05/2010,SANY HEAVY MACHINERY CO LTD,WEI ZHANG;;RONGCHENG XU;;JILIANG ZHU,,"SANY MINING MACHINERY CO., LTD. (2012-07-24);;SANYI HEAVY-DUTY EQUIPMENT CO., LTD. (2012-03-21)",Limited Patent,,G01M17/04,
CN102323027A,CN,18/01/2012,2012,12/08/2011,SANY HEAVY MACHINERY CO LTD,WEI LIU;;JUNCHENG MAN,,"SANY MINING MACHINERY CO., LTD. (2012-07-25);;SANYI HEAVY-DUTY EQUIPMENT CO., LTD. (2012-03-09)",Patent Application,,G01M7/02;;G01M17/04,
CN202117664U,CN,18/01/2012,2012,29/06/2011,CNPC XIBU DRILLING ENG CO LTD,YAOXIAN ZHANG;;TAO XIE;;XIZHI ZHANG;;BIN ZHANG,,,Limited Patent,,E21B47/12,
CN202273673U,CN,13/06/2012,2012,21/07/2011,WANG XIAODONG,GUANGMING SUN;;YUCHENG CHEN;;CHANGJIANG XIE;;HONG WANG;;LIANG XU;;LIHUI ZHANG,,,Limited Patent,,E21B47/06,
CN102996117A,CN,27/03/2013,2013,20/12/2012,XI AN SITAN INSTR CO LTD,CHENG CHENG;;YIN BINGYUN;;HUANG SHIXING;;SUN DAWEI;;LUO PEIHUA;;LI YONGZHEN,,,Patent Application,,E21B47/00;;E21B47/017;;E21B47/06;;E21B47/07,
CN203847098U,CN,24/09/2014,2014,30/04/2014,ZHANG HONGXIN,ZHANG HONGXIN;;ZHANG YUE;;LIU JIA,,,Limited Patent,,E21B47/06,
CN101749007A,CN,23/06/2010,2010,11/12/2009,GREAT WALL DRILLING COMPANY OF,SHUMEI CHEN;;JIGANG GONG;;SONGYUAN JIANG;;SHUANGFU TAO;;XIAOJUN WANG;;CHUNNING WANG;;GUIYU WANG;;QIAOLIN XIA;;XIAOLI ZHANG;;YALI ZHAO,,,Patent Application,,E21B47/00;;E21B47/017;;E21B47/06;;E21B47/09;;E21B47/12;;E21B49/00,
CN204371260U,CN,03/06/2015,2015,28/11/2014,PETROCHINA CO LTD,ZHANG FUXIANG;;YANG XIANGTONG;;DOU YIHUA;;LI MINGFEI;;LIU HONGTAO;;ZHOU PENGYAO;;WANG LEIQI;;LIU JUNYAN;;GAO WENXIANG;;HUANG SHICAI;;ZHANG HONGQIANG;;BA DAN,,,Limited Patent,,E21B43/119;;E21B47/00,
CN2761842Y,CN,01/03/2006,2006,24/01/2005,DAQING PETROLEUM ADMIN,ZHOU YINGCAO;;LIU YONGGUI;;WANG GUANGXIN,,,Limited Patent,,E21B47/06;;E21B47/07,
CN201372792Y,CN,30/12/2009,2009,13/03/2009,CHINA NAT PETROLEUM CORP,GUANGHUA LIU;;JIANZHUANG GUO;;LIANYANG ZOU;;YANFU HUANG;;JIANPING GAO;;XIANYI LI,,,Limited Patent,,E21B47/06;;E21B47/07,
CN101295373A,CN,29/10/2008,2008,24/04/2007,PETROCHINA CO LTD,QIULIN GUO;;SHIYUN MI;;SUYUN HU;;NINGSHENG CHEN;;HONGBING XIE,,,Patent Application,,G06Q10/04;;G06Q50/02,
CN102472825A,CN,23/05/2012,2012,28/06/2010,EXXONMOBIL UPSTREAM RES CO,JINGBO WANG;;KRISHNAN KUMARAN;;PENG XU;;SOWERS STEVEN F;;LEI WANG;;BAILEY JEFFREY R;;BIEDIGER ERIKA A O;;VISHWAS GUPTA;;BANGARU NARASIMHA-RAO V,,,Patent Application,E21B44/00;;E21B44/00,G01V1/40,
CN102606820A,CN,25/07/2012,2012,27/03/2012,AEROSUN CORP,CANRONG LIU;;FANG WANG;;BIAO HENG,,,Patent Application,F16L59/141;;F16L59/184,F16L23/16;;F16L59/07,
CN102041985A,CN,04/05/2011,2011,15/11/2010,UNIV NORTH CHINA,JING ZU;;CHUNSHENG CUI;;TIEHUA MA;;DONGXING PEI;;ZHIGANG YANG;;XINE LI;;HONGYAN ZHANG;;DAWEI SHEN,,,Patent Application,,E21B43/11;;E21B47/00,
CN2737944Y,CN,02/11/2005,2005,24/07/2004,ZHOU JINGXUN,ZHOU JINGXUN;;SUN BAOYOU,,,Limited Patent,,E21B47/26,
CN201322155Y,CN,07/10/2009,2009,26/11/2008,ZHANGQING WEN,ZHONGDONG ZHANG;;ZHANGQING WEN,,,Limited Patent,,F16L29/02;;G01M3/00;;G01M99/00,
CN102704867A,CN,03/10/2012,2012,08/06/2012,SHANDONG CHUANGJIA PETROLEUM MACHINERY MFG CO LTD,WEI XIE;;JIAYUAN ZHENG;;GUANGDONG LIU;;WEILIN WANG;;SHUKAI TANG;;HONGSHENG ZHANG;;ZHIRONG ZHAO;;LONG LI;;HAIBIN DING;;SHUPENG YE,,,Patent Application,,E21B17/18,
CN102865052A,CN,09/01/2013,2013,22/10/2012,BOHAI SEA PET EQUIP MFG CO LTD,WU YONGNING;;PAN YAOQING;;ZHU JINLI;;ZHANG XIAOHUI;;ZHANG WEI;;XU ZHENYU;;WANG FENGQIN;;SUN FUDONG;;WEI YONGJIE,,,Patent Application,,E21B36/00;;E21B17/02;;E21B43/24,
CN2298388Y,CN,25/11/1998,1998,19/03/1997,CAI FUZHONG,CAI FUZHONG,,,Limited Patent,,F16K15/06,
CN205607607U,CN,28/09/2016,2016,22/12/2015,WUHU SHUNRONG AUTOMOBILE PARTS CO LTD,HUANG RAN;;MO YONGSONG,,,Limited Patent,,G01M3/04,
CN101332769A,CN,31/12/2008,2008,24/07/2008,UNIV JIANGSU,REN HE;;HAIYAN WEI;;JINRONG CAI,,,Patent Application,,B60K15/035;;B60K15/04,
CN103698119A,CN,02/04/2014,2014,19/12/2013,YAPP AUTOMOTIVE PARTS CO LTD,SUN YAN;;JIANG LIN;;LIU LIANG;;ZHU MINGZE;;SU WEIDONG;;XUE QING,,,Patent Application,,G01M13/00,
CN104792481A,CN,22/07/2015,2015,31/03/2015,GUANGZHOU SPECIAL PRESSURE BEARING EQUIPMENT INSPECTION RES INST,XIAO CHAOBO;;YU WEI;;CHEN ZHIGANG;;YE WEIWEN;;LI MAODONG;;TAN QITIAN;;XU ZHANMING;;PENG CHAOZHANG;;WEI XIN;;WANG YONGCHAO,,,Patent Application,,G01M3/32,
CN105189987A,CN,23/12/2015,2015,11/03/2014,KEIHIN CORP,INAGAKI OJI;;MORITA SHINICHIROU,,,Patent Application,F02M35/1038;;F02D9/1035;;F02D9/105,F02D35/00;;F02D9/10,
CN102877932A,CN,16/01/2013,2013,25/10/2012,SHENYANG AEROSPACE MITSUBISHI AUTOMOBILE ENGINE MFG CO LTD,CHEN LANHUA;;ZHANG WEIDONG;;LI ZHAOHUI;;WANG ZHONGTAO;;ZHU QIANG;;LI YANLONG,,,Patent Application,Y02T10/12,F02B37/00;;F01L1/14;;F01L1/34;;F01L3/02;;F01P3/08;;F02F11/00;;F02N11/00,
CN103133193A,CN,05/06/2013,2013,29/06/2012,HYUNDAI MOTOR CO LTD;;KIA MOTORS CORP,LEE SANG IL,,,Patent Application,F02B27/02;;F02B27/0273;;F02D9/08;;F02B27/0273;;F02D9/02;;F02D9/02;;F02D9/02;;F02D11/10;;F02D11/10;;F02D11/105;;F02D11/105;;F02M35/02;;F02M35/0205;;F02M35/0205;;F02M35/10013;;F02M35/10013;;F02M35/1038;;F02M35/1038;;F02M35/108;;F02M35/108;;F02M35/1222;;F02M35/1222;;Y02T10/12;;Y02T10/12,F02M35/10;;F02D9/02,
CN203962403U,CN,26/11/2014,2014,28/07/2014,SHANGHAI UNITED COMPRESSOR CO LTD,HUANG XULIN;;SUN ZHIXIN;;XU JIAN;;XIAO XU,,,Limited Patent,,F04C23/02;;F04C28/00;;F04C28/24;;F04C29/00;;F04C29/02;;F04C29/04,
