PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType
CN201334906Y,CN,28/10/2009,2009,27/11/2008,SHANDONG SHENGLI WEIYE PETROLE,XUSAN CHEN;;ZAIPING SHAO,,,Limited Patent
CN1676874A,CN,05/10/2005,2005,14/04/2005,DRILLING PROCESS INST SHENGLI,YANG JINZHOU;;XIAO HONGBING;;ZHANG HAIHUA;;MA ZHE,,CHINA PETROLEUM + CHEMICAL VICTORY OIL ENGINEERING (2015-03-26);;SINOPEC OILFIELD SERVICE CORPORATION (2015-03-26),Patent Application
CN101482013A,CN,15/07/2009,2009,23/02/2009,SHENGLI ADMIN SINOPEC DRILLING,JINZHOU YANG;;HONGBING XIAO;;HAIHUA ZHANG,,CHINA PETROLEUM + CHEMICAL VICTORY OIL ENGINEERING (2015-04-02);;SINOPEC OILFIELD SERVICE CORPORATION (2015-04-02),Patent Application
CN201161935Y,CN,10/12/2008,2008,15/11/2007,UNIV SHANGHAI MARITIME,WENZHE SUN;;BINGHENG FU;;DANDAN MEI;;YING WANG,,,Limited Patent
CN102344179A,CN,08/02/2012,2012,29/09/2011,GUANGZHOU INST ENERGY CONV CAS,WEIBIN MA;;LINGBAO WANG;;XIANBIAO BU,,,Patent Application
CN2470343Y,CN,09/01/2002,2002,19/03/2001,LIU ZONGZHOU,LIU ZONZHOU,,,Limited Patent
CN1538128A,CN,20/10/2004,2004,15/04/2003,XU BAOAN,XU BAOAN,,"BEIJING HUANNENG HAICHEN SCIENCE CO., LTD. (2009-01-09)",Patent Application
CN101344298A,CN,14/01/2009,2009,15/11/2007,UNIV SHANGHAI MARITIME,WENZHE SUN;;BINGHENG FU;;DANDAN MEI;;YING WANG,,,Patent Application
CN202865054U,CN,10/04/2013,2013,15/10/2012,CHENG GANG,CHENG GANG,,,Limited Patent
CN201634527U,CN,17/11/2010,2010,22/12/2009,UNIV SHANGHAI JIAOTONG,JIE MA;;LONGFEI REN;;WENCHAO HUANG,,,Limited Patent
CN201161936Y,CN,10/12/2008,2008,18/12/2007,UNIV SHANGHAI MARITIME,WENZHE SUN;;SHAOBIN ZHAI;;LIHUA ZHANG;;BINGHENG FU,,,Limited Patent
CN201666717U,CN,08/12/2010,2010,23/02/2010,BAOSHAN IRON & STEEL,HONGLI ZHANG;;LEI ZHAO;;BIAO YANG,,,Limited Patent
CN101806484A,CN,18/08/2010,2010,06/04/2010,UNIV NANJING AERONAUTICS;;NANJING ACMELEC ELECTRONIC CO LTD,SHUN HAN;;XINTAO LIU;;LING MAO;;JIAN XU;;YINGHUI XU;;CHEN ZHANG,,,Patent Application
CN2669113Y,CN,05/01/2005,2005,11/07/2003,XIE YULIN,XIE YULIN;;DING GUOWANG;;HU RENDE,,"CHINA NATIONAL ELECTRIC EQUIPMENT CORPORATION (2010-06-29);;HARBIN POWER SYSTEM ENGINEERING AND RESEARCH INSTI (2010-08-04);;HARBIN PUHUA COAL COMBUSTION TECHNOLOGY DEVELOPME (2005-11-11);;CHINA NATIONAL ELECTRIC ENGINEERING CO., LTD. (2011-07-06);;HARBIN ELECTRICITY EQUIPMENT DESIGN INSTITUTE (2009-12-04)",Limited Patent
CN201593899U,CN,29/09/2010,2010,20/01/2010,CHANGZHOU YIJING LIGHT AND POWER TECHNOLOGY CO LTD,XINMIN JIANG,,,Limited Patent
CN1050263A,CN,27/03/1991,1991,11/09/1989,ZHUANGXI OIL PRODUCTION FACTOR,QIYUAN LIU;;XUEHU ZENG;;LIU KEJIN,,,Patent Application
CN201364191Y,CN,16/12/2009,2009,20/03/2009,SHENZHEN SUNWAVE ELECTRONIC CO,KUIWEN GAN,,,Limited Patent
CN201583322U,CN,15/09/2010,2010,18/12/2009,TIANJIN XINCHENG INSTR CO LTD,GUICHUN HE,,,Limited Patent
CN102519547A,CN,27/06/2012,2012,08/12/2011,QIANG CHEN,QIANG CHEN;;HAIYING LI,,,Patent Application
CN2274765Y,CN,18/02/1998,1998,30/01/1996,PULANDIAN INSTR FACTORY,WANG LIANSHUN,,,Limited Patent
CN1138133A,CN,18/12/1996,1996,13/06/1995,LISHAN HIGH NEW TECHNOLOGY INS,GUANGLIN LIU;;ZHENGQIAN HE;;DARONG LU,,,Patent Application
CN201364192Y,CN,16/12/2009,2009,20/03/2009,SHENZHEN SUNWAVE ELECTRONIC CO,KUIWEN GAN,,,Limited Patent
CN102103003A,CN,22/06/2011,2011,21/12/2009,TIANJIN XINCHENG INSTR CO LTD,HETING WANG,,,Patent Application
CN202903132U,CN,24/04/2013,2013,29/09/2012,CAMA LUOYANG MEASUREMENTS & CONTROLS CO LTD,JIANG XIAOYANG;;WANG ZONGLI;;CHANG JIA;;YU LU,,,Limited Patent
CN201666956U,CN,08/12/2010,2010,29/03/2010,NAT UNIV DEFENSE TECHNOLOGY,LIANCHAO ZHANG;;DAPENG FAN;;YING ZHOU;;ZHIYONG ZHANG;;HUAJIE HONG;;FENGJUN CHEN;;ZHIQIANG LI,,,Limited Patent
CN101788093A,CN,28/07/2010,2010,10/03/2010,DAQING PETROLEUM INST,XIMING WANG;;FENGPING XU;;XINZHONG ZHU;;LONGQING ZOU,,,Patent Application
CN202252613U,CN,30/05/2012,2012,01/10/2011,LUOYANG INST SCIENCE & TECHNOLOGY,DERONG ZHU;;GUOQIANG WANG;;XIUTING ZHAO;;DANWEN ZHANG;;JUAN SUN;;HUANTONG FAN;;XIAOTAO WANG;;DONGWEI LI;;YUANHAO LV;;XINGZHEN LIU,,,Limited Patent
CN202937957U,CN,15/05/2013,2013,21/11/2012,BEIJING INST PETROCHEM TECH,CAO JIANSHU;;LI YANG;;LI KUILONG,,,Limited Patent
CN102192385A,CN,21/09/2011,2011,21/04/2011,UNIV HARBIN ENG,SHENGHAI HU;;XIAOLI ZHAO;;HONGGUANG WANG;;ZICHUN LIU;;MAOLIN WANG;;PENG XU;;QIYUE LI;;XIAODONG ZHANG;;LIN LI;;KUNXIU DENG,,,Patent Application
CN202068783U,CN,14/12/2011,2011,09/12/2010,PING LI,PING LI,,,Limited Patent
CN202603277U,CN,19/12/2012,2012,29/03/2012,XU YANZHE;;YANG JINTAO,YANG JINTAO;;XU YANZHE;;LIU XIAOBO;;WANG HUI,,,Limited Patent
CN202425377U,CN,12/09/2012,2012,21/11/2011,GAN WANG,GAN WANG,,,Limited Patent
CN102812872A,CN,12/12/2012,2012,30/08/2012,LV HAO,LV HAO,,,Patent Application
CN203105213U,CN,07/08/2013,2013,15/01/2013,CUI YONG,CUI YONG,,,Limited Patent
CN203068662U,CN,17/07/2013,2013,27/12/2012,SHAANXI SHENGTIAN ENERGY SERVICE CO LTD,XU FANGJUN,,,Limited Patent
CN101738270A,CN,16/06/2010,2010,30/12/2009,BEIJING MENERGY ENERGY TECHNOL;;UNIV BEIJING TECHNOLOGY;;NANJING MENERGY ENERGY TECHNOL,JIUXIAO DAI;;LIANGSHI DING;;ZONGTAO FAN;;RUI JIANG;;YI LIU;;JUNHUI WEI;;DONGLAI XU,,,Patent Application
CN101038250A,CN,19/09/2007,2007,03/04/2007,UNIV ZHEJIANG SCIENCE & TECH,OU GUOFU JIN,,,Patent Application
CN201034917Y,CN,12/03/2008,2008,03/04/2007,UNIV ZHEJIANG SCIENCE & TECH,GUOFU OU;;HAOZHE JIN;;HAIBIN CAO;;LINGPENG LIANG,,,Limited Patent
CN102520455A,CN,27/06/2012,2012,14/12/2011,UNIV JILIN,YI WANG;;FABAO ZONG;;YU ZHAO;;PEI QIN;;ZHANFENG AN;;YOU GAO;;JING ZHAO;;WANG JUN,,,Patent Application
CN101639538A,CN,03/02/2010,2010,30/07/2008,INST GEOLOGY & GEOPHYSICS CAS,QINGYU YOU;;TIANYAO HAO;;CHUNLEI ZHAO,,,Patent Application
CN1896769A,CN,17/01/2007,2007,17/05/2006,CHINA GEOL UNIV BEIJING,WEI WENBO DENG,,,Patent Application
CN202854351U,CN,03/04/2013,2013,26/09/2012,INST GEOLOGY & GEOPHYSICS CAS,HUANG SONG;;XU YA;;HAO TIANYAO;;YOU QINGYU;;ZHAO CHUNLEI,,,Limited Patent
CN101315025A,CN,03/12/2008,2008,05/06/2008,UNIV TAIYUAN TECHNOLOGY,WEIGUO LIANG;;SUGUO XU;;YANGSHENG ZHAO;;JIANG MO;;DI WU,,,Patent Application
CN101403317A,CN,08/04/2009,2009,12/11/2008,TIANJIN INST OF SPECIAL EQUIPM,SHILAI WANG;;WEIFEI NIU,,,Patent Application
CN201671605U,CN,15/12/2010,2010,16/12/2009,CHINA NAT PETROLEUM CORP;;CNPC DRILLING RES INST,FANSHENG BAN;;GUANGJIE YUAN;;RUICHEN SHEN;;HENGLIN YANG;;YAN XIA;;XIAOQIAN ZHUANG;;JINGCUI LI;;JIANHUI DONG,,,Limited Patent
CN2411464Y,CN,20/12/2000,2000,04/04/2000,SHIDAI GROUP CORP,GAO QING;;CHEN DEMING;;HAO JIANGUO,,,Limited Patent
CN101476897A,CN,08/07/2009,2009,04/01/2008,WEIFANG SUN,TAO QI;;WEIFANG SUN;;WEI QI;;KE SUN,,,Patent Application
CN102528475A,CN,04/07/2012,2012,30/12/2010,SHANGHAI HUAHUI CURTAIN WALL MFG CO LTD,HAOLING JIN;;HONGMING TIAN,,,Patent Application
CN203011336U,CN,19/06/2013,2013,11/01/2013,UNIV SHANDONG SCIENCE & TECH,SHI YONGKUI;;REN YI;;QI MINHUA;;HAO JIAN;;LIN HUILI;;BIAN PINGYONG,,,Limited Patent
CN102230809A,CN,02/11/2011,2011,28/06/2011,UNIV ZHEJIANG SCIENCE & TECH,JIANBO LUO;;BENYONG CHEN;;LE WANG;;WEICHEN REN;;QINGQING SUN,,,Patent Application
CN202091779U,CN,28/12/2011,2011,15/12/2010,PETROCHINA CO LTD,HONGMEI CAO;;YONGGAO XU;;LIJUN MU;;GANGDAN FU;;YONG XU;;CANGHAI YANG;;PEI LI;;HONGTAO ZHAO;;QIANYI MU;;SHIDONG CHENG;;MEIZAN XU;;LI LI;;YONGQING LI,,,Limited Patent
CN202532191U,CN,14/11/2012,2012,30/12/2011,PETROCHINA CO LTD,HONGHUI QIU;;DONGJIE TAN;;QIONG WU;;LIKUN WANG;;YI SUN;;WENXING HU;;HONGCHAO WANG;;YUNBIN MA;;HAIMING WANG,,,Limited Patent
CN201340543Y,CN,04/11/2009,2009,25/12/2008,CHINA PETROLEUM PIPELINE ENGIN,JUNHUA WU;;XIAOYUN JI;;HUANFA CUI;;YABIN GENG;;GANG WANG;;WENWEI ZHANG;;YONG LIU;;ZHIQIANG XU;;HUAIYI WANG,,,Limited Patent
CN201391369Y,CN,27/01/2010,2010,10/04/2009,ZHEJIANG ZHONGGAO POWER TECHNOLOGY CO LTD,QINGLONG ZHOU;;ZHIHUI TIAN;;GUANJUN XU,,,Limited Patent
CN1465851A,CN,07/01/2004,2004,06/06/2002,UNIV TIANJIN,SU WANHUA;;LIN ZHIQIANG;;ZHANG ZHEN,,,Patent Application
CN201051218Y,CN,23/04/2008,2008,15/02/2007,SHANGHAI ZHUDA ENGINE TECHNOLO,YUE SONG,,,Limited Patent
CN201071758Y,CN,11/06/2008,2008,09/08/2007,SHANGHAI ZHUDA ENGINE TECHNOLO,YUE SONG,,,Limited Patent
CN102778893A,CN,14/11/2012,2012,07/08/2012,CHINA RAILWAY 23RD BUREAU GROUP CO LTD;;3RD ENGINEERING CO LTD OF CHINA RAILWAY 23RD CONSTRUCTION BUREAU CO LTD,ZHIQIANG LI;;JIAN PENG;;YOULIN CHEN;;YI YANG;;YANLONG LIU;;CEN WANG;;RUILAN SHEN;;JIANJI JU;;RENHUA XU;;SUZHONG YANG;;YONG TANG;;LI LI;;FENGJIE DONG;;CHUANLING ZHOU;;JIANGUO FAN;;RAN JUN,,,Patent Application
CN203223971U,CN,02/10/2013,2013,06/05/2013,UNIV SHANGHAI ENG SCIENCE,CHENG WUSHAN;;HU XIAOFEI;;LI ZHONGCAI;;HAN JIANJIE;;LIAO ZHICHUANG,,,Limited Patent
CN202546957U,CN,21/11/2012,2012,12/01/2012,XUAN CHEN,XUAN CHEN,,,Limited Patent
CN201093643Y,CN,30/07/2008,2008,28/09/2007,GANG LI,GANG LI;;PENG LI;;LEIFEI JIN,,,Limited Patent
CN201141215Y,CN,29/10/2008,2008,07/08/2007,ZONGNIAN WANG,ZONGNIAN WANG,,,Limited Patent
CN202635220U,CN,02/01/2013,2013,16/05/2012,SHANDONG SHANTAI GROUP CO LTD,SONG CHENG;;SONG GUOXING,,,Limited Patent
CN203233798U,CN,16/10/2013,2013,16/05/2013,CHANGCHUN ESTAR SCIENCE & TECHNOLOGY DEV GROUP CO LTD,YI JIXIAN,,,Limited Patent
CN201141209Y,CN,29/10/2008,2008,26/12/2007,BEIJING KINGPENG INTERNAT HI T,YUNLONG BU;;RENQUAN YANG;;ZENGCHAN ZHOU;;JUNFENG WANG;;ZHIQIANG LONG;;SONG WU,,,Limited Patent
CN1952324A,CN,25/04/2007,2007,12/12/2006,XIE LINYAN,XIE LINYAN,,,Patent Application
CN1171190A,CN,28/01/1998,1998,22/07/1996,SHEN XINFANG,SHEN XINFANG,,,Patent Application
CN102966086A,CN,13/03/2013,2013,26/11/2012,GUANGDONG YONGJI BUILDING FOUNDATION CO LTD,LI ZHIZHONG;;LI ZHAOYUAN,,,Patent Application
CN202390823U,CN,22/08/2012,2012,13/12/2011,UNIV SOUTHEAST,SONGYU LIU;;GUOJUN CAI;;HAIFENG ZOU,,,Limited Patent
CN203361119U,CN,25/12/2013,2013,03/06/2013,UNIV SOUTHEAST,BIAN HANLIANG;;CAI GUOJUN;;LIU SONGYU,,,Limited Patent
CN102817346A,CN,12/12/2012,2012,27/08/2012,UNIV SOUTHEAST,CAI GUOJUN;;ZOU HAIFENG;;LIU SONGYU;;DU GUANGYIN,,,Patent Application
CN202390824U,CN,22/08/2012,2012,13/12/2011,UNIV SOUTHEAST,SONGYU LIU;;GUOJUN CAI;;HAIFENG ZOU,,,Limited Patent
CN102419289A,CN,18/04/2012,2012,21/12/2011,XI AN 3D STRESS ENGINEERING TECHNOLOGY CO LTD,JIAOQI SHI;;XI YANG;;QIESHI ZHANG,,,Patent Application
CN102419286A,CN,18/04/2012,2012,21/12/2011,XI AN 3D STRESS ENGINEERING TECHNOLOGY CO LTD,JIAOQI SHI;;XI YANG;;QIESHI ZHANG,,,Patent Application
CN202433263U,CN,12/09/2012,2012,15/02/2012,XI AN SANWEI YINGLI ENGINEERING CO LTD,JIAOQI SHI;;XI YANG;;QIESHI ZHANG,,,Limited Patent
CN203259420U,CN,30/10/2013,2013,10/05/2013,BAOJI PETROLEUM STEEL PIPE CO,YANG ZHONGWEN;;BI ZONGYUE;;TIAN XIAOJIANG;;DANG TAO;;ZHANG JINGANG;;ZHANG FENG;;BAI HE;;HE SHILEI;;WANG YONG;;YANG ZHIXIAO;;WANG YICEN;;JIAO WEI;;YUAN QINGYING;;HOU YONGLI;;HUANG LI;;ZHANG JIGUANG;;YANG WUGANG,,,Limited Patent
CN202886213U,CN,17/04/2013,2013,26/10/2012,XI AN 3D SRESS ENGINEERING TECHNOLOGY CO LTD,SHI JIAOQI;;YANG XI,,,Limited Patent
CN202516351U,CN,07/11/2012,2012,15/03/2012,HANGZHOU SHENHAO INFORMATION TECHNOLOGY CO LTD,RUSHEN CHEN;;YONGYUE LI;;GUANGKE CAO;;WENGUO ZHANG,,"HANGZHOU SHENHAO TECHNOLOGY CO., LTD. (2014-10-29)",Limited Patent
CN202860185U,CN,10/04/2013,2013,16/02/2012,WUXI TEST INSTR DEVICE CO LTD,LI JINDU,,,Limited Patent
CN101706482A,CN,12/05/2010,2010,02/09/2009,JIANGSU PROVINCE ELECTRIC POWE,CHEN WANG;;HONGBIN ZHU,,"ELECTRIC POWER RESEARCH INSTITUTE, JIANGSU ELECTRI (2012-10-25);;JIANGSU ELECTRIC POWER CO. STATE ELECTRIC NET CROP (2012-10-25)",Patent Application
CN202113641U,CN,18/01/2012,2012,08/06/2011,GUODIAN NANJING AUTOMATION CO,LI ZHUO;;PING TANG;;QIFENG XIE;;JIANXUE ZHANG;;ZHENGCHAO CHEN,,,Limited Patent
CN101556218A,CN,14/10/2009,2009,11/04/2008,WUHAN BHYT ENVIRONMENT PROT SC,ZHIGANG WANG;;LEQUN YANG,,,Patent Application
CN203123864U,CN,14/08/2013,2013,12/03/2013,QINGDAO ZHONGRUI INTELLIGENT INSTR CO LTD,ZHAN ZHITAO;;GAO JIANHUI;;WANG TONG,,,Limited Patent
CN2689231Y,CN,30/03/2005,2005,23/07/2003,LAISEN ELECTRONIC TECHNOLOGY C,ZHANG GUOXIAN;;XIE YUNFENG;;LI JIN,,"BEIIJING LICENSE TECH SCIENCE AND TECHNOLOGY CO., (2006-10-13)",Limited Patent
CN202673686U,CN,16/01/2013,2013,02/07/2012,YANTAI JERELL COMPRESSION EQUIPMENT CO LTD,CHENG JIJIE;;DONG LONGKE;;LIU YUESHENG;;CHEN BAODONG;;YANG SHUMAO,,"JEREH NATURAL GAS ENGINEERING CO., LTD. (2014-09-10)",Limited Patent
CN201546957U,CN,11/08/2010,2010,19/10/2009,BEIJING PROFICIENT ENERGY EQUIPMENT CO LTD;;CHENGDU GREIHAIDE ENERGY TECHNOLOGY DEV CO LTD,XUEBING GUO;;LI WANG,,,Limited Patent
CN2457401Y,CN,31/10/2001,2001,15/12/2000,NANJING COMPRESSOR CO LTD,KONG LINGSHUANG;;LU XIUZHONG;;ZHANG MAOFU,,,Limited Patent
CN101498304A,CN,05/08/2009,2009,11/03/2009,NINGBO BAOSI COMPRESSOR CO LTD,GANG CHEN;;JIONGYAN ZHANG;;ANQUAN JIA,,,Patent Application
CN201034077Y,CN,12/03/2008,2008,26/04/2007,711TH RES INST CSIC,ZHENG LU;;ZIJIAN ZHONG;;FANG XIAO;;YUGUI WANG;;MIN LI;;BINGBING TIAN,,,Limited Patent
CN202460429U,CN,03/10/2012,2012,17/11/2011,HEILONGJIANG FOREST ENGINEERING AND ENVIRONMENT CO LTD,SUYU LIANG;;BINFAN LIU;;SONGYAN TIAN;;TIENAN LIU;;ERPING LI;;WENFAN WANG,,,Limited Patent
CN202803057U,CN,20/03/2013,2013,18/09/2012,JILIN INST OF DESIGN OF PETROCHINA NORTHEAST REFINING & CHEMICALS ENGINEERING CO LTD,LIN QINGWU;;QU HONGXIA;;SONG SHUNLI;;WANG HONG;;ZHANG RUIFENG;;XIE XIAOFENG;;WANG SHUPING;;ZHANG YU;;HU LIANG;;WANG HONGBIN;;LV ZHUOLIANG;;ZHANG WEIJUN;;LI WEIBO;;LI YANYING;;YE WANDONG,,,Limited Patent
CN201537401U,CN,04/08/2010,2010,09/11/2009,SHENYANG INST OF CHEMICAL TECH,QIANG CHEN;;JINGPENG GAO;;YAN LI;;YIN LIANG;;XIAOZHU LONG;;ZAILEI QIU;;CHANGSONG WANG;;LISHENG ZHAO;;XUEJUN ZONG,,,Limited Patent
CN201002001Y,CN,09/01/2008,2008,28/12/2006,DALIAN WONENG TECHNOLOGY DEV C,ZHENGDONG NIU;;WENHUI YANG,,,Limited Patent
CN101221097A,CN,16/07/2008,2008,23/01/2008,INST OF MECHANICS CAS,FUPING GAO;;SHUMING YAN;;YINGXIANG WU;;BO ZHAO;;CHENGCAI LUO,,,Patent Application
CN102914632A,CN,06/02/2013,2013,16/10/2012,UNIV WUHAN TECH,RUI RUI;;XIA YUANYOU;;LI MEI;;YANG FAN,,,Patent Application
CN102944480A,CN,27/02/2013,2013,07/12/2012,CN PETROLEUM ENG CO LTD,GUO CHENGHUA;;LI PU;;LI JIANG;;YANG HANQING;;WANG TANGYU;;LI YUE;;HU DAOHUA;;ZENG QIANG;;JIANG XI,,,Patent Application
CN102645346A,CN,22/08/2012,2012,09/04/2012,UNIV ZHEJIANG,LIZHONG WANG;;FENG YUAN;;JU ZHANG;;ZHEN GUO;;LINGLING LI,,,Patent Application
CN102877492A,CN,16/01/2013,2013,31/10/2012,UNIV SOUTHEAST,DAI GUOLIANG;;HUANG TING;;GONG WEIMING;;LIU LIJI;;XU GUOPING,,,Patent Application
CN203364517U,CN,25/12/2013,2013,17/06/2013,JIANGSU KELIDE REFRIGERATION EQUIPMENT CO LTD,HUANG TAO;;LI SHIGANG;;WANG XIAOJUN,,,Limited Patent
CN1432782A,CN,30/07/2003,2003,10/01/2003,EISPECK CO LTD,SHINICHI ENOMOTO,,,Patent Application
CN1846099A,CN,11/10/2006,2006,17/08/2004,DAIKIN IND LTD,KYO OTSUKA KANAME UENO HIROMIC,,,Patent Application
CN201945084U,CN,24/08/2011,2011,01/07/2010,DALIAN SANYO COMPRESSOR CO LTD,QINGHAI MENG;;HAIJIE QIN;;YONGMING SHAN,,,Limited Patent
CN201560942U,CN,25/08/2010,2010,18/08/2009,SHANGHAI SCREW COMPRESSOR CO LTD,GUANGMING CHENG;;CUIPING LI,,,Limited Patent
CN201265528Y,CN,01/07/2009,2009,14/10/2008,NANJING COMPRESSOR CO LTD,HUI XU;;JIANHONG CAI;;SUJIAN XIA;;PING ZHANG,,,Limited Patent
CN202510372U,CN,31/10/2012,2012,12/03/2012,SHANGHAI SCREW COMPRESSOR CO LTD,BAOHUA GAO,,,Limited Patent
CN1165249A,CN,19/11/1997,1997,30/01/1997,HOKUETSU KOGYO CO,SANGO MASAYUKI;;TAKEDA MITSUO,,,Patent Application
CN201396284Y,CN,03/02/2010,2010,09/05/2009,SHAOXING RICH COMPRESSOR CO LTD,XIAOMIN SHU;;WENBIN LIU;;XIANGHUA CHEN,,"SHANGHAI RICH GAS EQUIPMENT CO., LTD. (2014-05-30);;SHANGHAI TONGXUE INDUSTRIAL CO., LTD. (2015-02-16)",Limited Patent
CN102146908A,CN,10/08/2011,2011,08/02/2010,DONGGUAN ADEKOM COMPRESSOR MFG CO LTD,JIANHUA XIE,,DONGGUAN ADEKOM KOMPRESSOREN LTD. (2014-10-01),Patent Application
CN102829925A,CN,19/12/2012,2012,09/08/2012,UNIV NORTH CHINA ELEC POWER,SHEN GUOQING;;AN LIANSUO;;XU WEILONG;;ZHANG SHIPING,,,Patent Application
CN101295430A,CN,29/10/2008,2008,21/04/2008,UNIV SHANGHAI,YINGXIONG SONG;;YINGDONG LI;;YINGCHUN LI;;JUNJIE ZHANG;;JINGPING LU;;SHENGJIE HAN;;JIAN CHEN,,,Patent Application
CN101251534B,CN,30/11/2011,2011,02/01/2008,,,,,Granted Patent
CN100588951C,CN,10/02/2010,2010,19/02/2008,UNIV HARBIN ENG,LIBO YUAN;;AI ZHOU;;YANG JUN;;TAO GENG;;BINBIN LIU,,,Granted Patent
CN101465052A,CN,24/06/2009,2009,21/12/2007,YUFENG CHEN,YUFENG CHEN,,"SHANGHAI GUANGLIANG OPTOELECTRONICS TECHNOLOGY CO. (2010-10-20);;SUZHOU GUANGLAN INFORMATION TECHNOLOGY CO., LTD. (2014-03-19)",Patent Application
CN1987952A,CN,27/06/2007,2007,11/12/2006,UNIV TIANJIN,JING WENCAI JIA,,,Patent Application
CN201278199Y,CN,22/07/2009,2009,03/09/2008,PETROCHINA CO LTD,JIANPING LIU;;JIANBIN HAO;;PENGCHAO CHEN;;HONGYUAN JING;;BING HAN;;ZHIXIN HU,,,Limited Patent
CN202182703U,CN,04/04/2012,2012,20/08/2011,UNIV DALIAN TECH,XUEFENG ZHAO;;YANG ZHONG;;YANJUN CUI;;JINPING OU,,,Limited Patent
CN202903340U,CN,24/04/2013,2013,04/05/2012,PETROCHINA CO LTD,MA YUNBIN;;SONG NING;;XU BIN;;SHI LEI;;ZHANG YILING;;QIU HONGHUI;;SUN YI;;WU QIONG,,,Limited Patent
CN201331395Y,CN,21/10/2009,2009,19/01/2009,UNIV BEIJING JIAOTONG,YUANFENG WANG;;LIBING WAN;;BING HAN;;YAO ZHOU,,,Limited Patent
CN102345472A,CN,08/02/2012,2012,28/07/2010,PETROCHINA CO LTD,ZHANGZHONG WU;;YUNBIN MA;;JIANBIN HAO;;BING HAN;;HONGYUAN JING;;JIANPING LIU;;DONGJIE TAN;;YONGJUN CAI;;HONGHUI QIU,,,Patent Application
CN101075752A,CN,21/11/2007,2007,19/05/2006,SHANGHAI AEROSPACE SATELLITE A,XU GUANGCAI DING,,SHANGHAI AEROSPACE AUTOMOBILE ELECTRICAL AND MECHA (2010-03-29),Patent Application
CN103010434A,CN,03/04/2013,2013,29/11/2012,UNIV TAIYUAN TECHNOLOGY,LI WENYING;;ZHAO YANGSHENG;;LIANG WEIGUO;;LI GENGXIN;;ZHANG PEIQIANG;;WANG HUAN,,,Patent Application
CN102030088A,CN,27/04/2011,2011,30/09/2009,NO 710 RES INST CHINA CSIC,GU JUN;;JING WU;;MINGHUI WANG;;HUQING SHE;;WEI WU,,,Patent Application
CN203681853U,CN,02/07/2014,2014,04/09/2013,710TH RES INST SHIPBLD IND,ZENG JUNCAI;;SUN CHANG;;GAO PIN,,,Limited Patent
CN200951827Y,CN,26/09/2007,2007,21/09/2006,HANGZHOU ELECTRONIC SCI & TECH,DU JIAYOU QIN,,,Limited Patent
CN2934066Y,CN,15/08/2007,2007,04/07/2006,UNIV ZHEJIANG,YANG CANJUN DU,,,Limited Patent
CN102094792A,CN,15/06/2011,2011,30/12/2010,MINGWEN XU,MINGWEN XU,,,Patent Application
CN202579097U,CN,05/12/2012,2012,17/04/2012,SUZHOU LAIKA ENERGY ELECTRIC TECHNOLOGY CO LTD,NI CHUNLIN,,,Limited Patent
CN202166175U,CN,14/03/2012,2012,26/07/2011,ZHONGRUIXINYUAN ENERGY TECHNOLOGY TIANJIN CO LTD,JIANZHONG BAI,,,Limited Patent
CN201724369U,CN,26/01/2011,2011,30/07/2010,RENTING LIU,RENTING LIU,,,Limited Patent
CN203135574U,CN,14/08/2013,2013,24/10/2012,WUHAN NARI LTD LIABILITY CO OF STATE GRID ELECTRIC POWER RES INST;;SHENYANG SEALED TRANSFORMER CO LTD,NIE DEXIN;;ZHAO HUAILIN;;CAO LIJIAN;;LU WENHUA;;LUO XIANZHONG;;DENG JIANGANG;;XU WENXIN;;ZHANG DAQING;;SUN HANMING;;CHEN LONG;;HUANG HAITAO;;WANG SHANSHAN;;LIU YI;;DU ZHENBO;;LI FENGPAN;;ZHANG HONGPING;;ZHANG LIANXING;;HE XIXIONG;;ZHOU JIANHUA;;MA SHUANG;;PI BENXI;;LIANG SIYUAN,,,Limited Patent
CN202772673U,CN,06/03/2013,2013,06/09/2012,SHANGHAI XINYING POWER TECHNOLOGY CO LTD,KONG JIA,,"SHANGHAI XINYING POWERTECH CO., LTD. (2014-07-02)",Limited Patent
CN203069562U,CN,17/07/2013,2013,20/02/2013,GUANGZHOU SOUTHERN ELECTRIC POWER GROUP TECHNOLOGY CO LTD,HUANG YONGXIN;;YANG JIANGHAI,,,Limited Patent
CN103117597A,CN,22/05/2013,2013,27/12/2012,BEIKAI ELECTRIC CO LTD,WANG BAORONG;;YAN HOULAI;;XING WEIXIN;;CHENG YIFENG;;LI SIXU,,,Patent Application
CN102944253A,CN,27/02/2013,2013,15/11/2012,UNIV NANJING NORMAL,WANG YIPING;;WANG MING;;HUANG XIAOQIN;;HAO HUI;;TAO JIN,,,Patent Application
CN202255738U,CN,30/05/2012,2012,15/07/2011,WUHAN WUTOS CO LTD,TAIGUO GAN;;XINDA YIN,,,Limited Patent
CN202869691U,CN,10/04/2013,2013,09/07/2012,UNIV KUNMING SCIENCE & TECH;;YUNNAN PROVINCIAL ELECTRIC POWER TEST & RES INST GROUP CO LTD,LI CHUAN;;LI GUOMIN;;WANG DADA;;ZHANG SHAOQUAN;;LI JIANFA;;SUN JIALU,,,Limited Patent
